Dataset,Model,Pooling,K,F1_Micro,F1_Macro
,,,,,
mb-domars16k,dinov3_sat_1cha,max,1,0.8891,0.8885
mb-domars16k,dinov3_lvd_1cha,cls,13,0.8544,0.8504
mb-domars16k,mars_mae,cls,1,0.9114,0.9101
mb-domars16k,openclip,cls,5,0.8947,0.8923
mb-domars16k,vit_l,gem,1,0.8922,0.8893
mb-domars16k,satmae,max,1,0.8866,0.8851
mb-domars16k,siglip2,mean,3,0.8823,0.8802
mb-domars16k,dinov3_sat,max,1,0.8786,0.8772
mb-domars16k,dinov3_lvd,cls,11,0.8488,0.8455
mb-domars16k,swin_v2,gem,13,0.8445,0.8399
mb-domars16k,dinov1_b8,mean,1,0.9164,0.9148
mb-domars16k,dinov2_l14,max,3,0.8532,0.8485
,,,,,
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,cls,7,0.9795,0.9795
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,gem,15,0.9755,0.9754
mb-atmospheric_dust_cls_rdr,dinov3_sat,cls,11,0.9827,0.9827
mb-atmospheric_dust_cls_rdr,dinov2_l14,max,5,0.9814,0.9814
mb-atmospheric_dust_cls_rdr,dinov3_lvd,max,3,0.9804,0.9804
mb-atmospheric_dust_cls_rdr,siglip2,mean,11,0.9801,0.98
mb-atmospheric_dust_cls_rdr,openclip,mean,7,0.9718,0.9718
mb-atmospheric_dust_cls_rdr,dinov1_b8,max,7,0.9632,0.9632
mb-atmospheric_dust_cls_rdr,swin_v2,gem,15,0.9624,0.9624
mb-atmospheric_dust_cls_rdr,vit_l,max,5,0.9534,0.9534
mb-atmospheric_dust_cls_rdr,satmae,mean,9,0.9448,0.9447
mb-atmospheric_dust_cls_rdr,mars_mae,gem,7,0.9436,0.9436
,,,,,
mb-change_cls_ctx,dinov3_lvd_1cha,cls,1,0.9,0.8039
mb-change_cls_ctx,dinov3_sat_1cha,max,3,0.85,0.6571
mb-change_cls_ctx,dinov1_b8,max,3,0.9,0.8039
mb-change_cls_ctx,mars_mae,max,3,0.9,0.8039
mb-change_cls_ctx,openclip,mean,1,0.9,0.8039
mb-change_cls_ctx,satmae,cls,3,0.9,0.8039
mb-change_cls_ctx,vit_l,gem,3,0.9,0.8039
mb-change_cls_ctx,dinov2_l14,cls,1,0.85,0.7403
mb-change_cls_ctx,dinov3_lvd,max,3,0.85,0.6571
mb-change_cls_ctx,dinov3_sat,max,5,0.85,0.6571
mb-change_cls_ctx,siglip2,cls,3,0.8,0.4444
mb-change_cls_ctx,swin_v2,cls,3,0.8,0.4444
,,,,,
mb-change_cls_hirise,dinov3_sat_1cha,mean,1,0.9828,0.9418
mb-change_cls_hirise,dinov3_lvd_1cha,cls,5,0.9791,0.9289
mb-change_cls_hirise,mars_mae,mean,1,0.9858,0.9503
mb-change_cls_hirise,dinov1_b8,cls,1,0.9813,0.934
mb-change_cls_hirise,satmae,cls,5,0.9799,0.926
mb-change_cls_hirise,dinov3_sat,cls,1,0.9784,0.9267
mb-change_cls_hirise,vit_l,max,5,0.9784,0.9227
mb-change_cls_hirise,swin_v2,cls,1,0.9761,0.9201
mb-change_cls_hirise,dinov3_lvd,mean,9,0.9754,0.9136
mb-change_cls_hirise,siglip2,mean,3,0.9724,0.9031
mb-change_cls_hirise,dinov2_l14,cls,15,0.9716,0.8954
mb-change_cls_hirise,openclip,cls,9,0.9716,0.8944
,,,,,
mb-frost_cls,dinov3_sat_1cha,cls,15,0.9913,0.9906
mb-frost_cls,dinov3_lvd_1cha,cls,5,0.93,0.9259
mb-frost_cls,dinov3_sat,max,15,0.9871,0.9861
mb-frost_cls,dinov1_b8,cls,3,0.9575,0.9544
mb-frost_cls,mars_mae,cls,11,0.9373,0.9309
mb-frost_cls,siglip2,max,13,0.9371,0.9332
mb-frost_cls,dinov3_lvd,cls,15,0.9333,0.9293
mb-frost_cls,openclip,mean,5,0.9321,0.9253
mb-frost_cls,vit_l,mean,15,0.9194,0.9119
mb-frost_cls,dinov2_l14,cls,15,0.9136,0.9089
mb-frost_cls,swin_v2,cls,13,0.8966,0.8912
mb-frost_cls,satmae,gem,11,0.8938,0.8855
,,,,,
mb-landmark_cls,dinov3_lvd_1cha,max,5,0.9163,0.6969
mb-landmark_cls,dinov3_sat_1cha,cls,13,0.8963,0.5554
mb-landmark_cls,dinov3_lvd,cls,15,0.9175,0.6821
mb-landmark_cls,dinov2_l14,cls,7,0.9163,0.6842
mb-landmark_cls,dinov1_b8,cls,3,0.9141,0.6542
mb-landmark_cls,openclip,cls,5,0.9136,0.6183
mb-landmark_cls,vit_l,mean,9,0.913,0.6028
mb-landmark_cls,siglip2,mean,5,0.8996,0.6036
mb-landmark_cls,mars_mae,max,3,0.8985,0.6512
mb-landmark_cls,swin_v2,max,9,0.8946,0.567
mb-landmark_cls,satmae,max,7,0.8901,0.5227
mb-landmark_cls,dinov3_sat,cls,9,0.8885,0.5664
