Dataset,Datafraction,Model,Score
mb-atmospheric_dust_cls_rdr,0.01,dinov3_sat,98.14
mb-atmospheric_dust_cls_rdr,0.05,dinov3_sat,98.24
mb-atmospheric_dust_cls_rdr,0.20,dinov3_sat,98.14
mb-atmospheric_dust_cls_rdr,0.50,dinov3_sat,98.37
mb-atmospheric_dust_cls_rdr,full,dinov2_l14,98.68
mb-change_cls_ctx,0.20,dinov3_lvd,80.0
mb-change_cls_ctx,0.50,dinov3_sat,85.0
mb-change_cls_ctx,full,dinov2_l14,90.0
mb-change_cls_hirise,0.01,dinov3_lvd_1cha,91.94
mb-change_cls_hirise,0.05,dinov3_lvd_1cha,94.7
mb-change_cls_hirise,0.20,dinov1_b8,96.27
mb-change_cls_hirise,0.50,dinov3_sat,97.39
mb-change_cls_hirise,full,dinov3_lvd,97.91
mb-domars16k,0.01,dinov1_b8,66.48
mb-domars16k,0.05,dinov3_lvd,80.3
mb-domars16k,0.20,dinov1_b8,85.69
mb-domars16k,0.50,dinov3_sat_1cha,88.79
mb-domars16k,full,dinov3_sat,89.53
mb-frost_cls,0.01,dinov3_sat,99.1
mb-frost_cls,0.05,dinov3_sat,99.09
mb-frost_cls,0.20,dinov3_sat,99.38
mb-frost_cls,0.50,dinov3_sat,99.6
mb-frost_cls,full,dinov3_sat,99.62
mb-landmark_cls,0.01,openclip,85.05
mb-landmark_cls,0.05,siglip2,84.77
mb-landmark_cls,0.20,vit_l,90.96
mb-landmark_cls,0.50,dinov3_lvd_1cha,93.53
mb-landmark_cls,full,dinov3_lvd,94.42
